PlanNumber,BookName,BookNumber,Chapters,Chapters_data,IsRead,Id
8,Isaiah,23,1 - 4,23001001-23004999,0,1
8,Isaiah,23,5 - 7,23005001-23007999,0,2
8,Isaiah,23,8 - 10,23008001-23010999,0,3
8,Isaiah,23,11 - 14,23011001-23014999,0,4
8,Isaiah,23,15 - 19,23015001-23019999,0,5
8,Isaiah,23,20 - 24,23020001-23024999,0,6
8,Isaiah,23,25 - 28,23025001-23028999,0,7
8,Isaiah,23,29 - 31,23029001-23031999,0,8
8,Isaiah,23,32 - 35,23032001-23035999,0,9
8,Isaiah,23,36 - 37,23036001-23037999,0,10
8,Isaiah,23,38 - 40,23038001-23040999,0,11
8,Isaiah,23,41 - 43,23041001-23043999,0,12
8,Isaiah,23,44 - 47,23044001-23047999,0,13
8,Isaiah,23,48 - 50,23048001-23050999,0,14
8,Isaiah,23,51 - 55,23051001-23055999,0,15
8,Isaiah,23,56 - 58,23056001-23058999,0,16
8,Isaiah,23,59 - 62,23059001-23062999,0,17
8,Isaiah,23,63 - 66,23063001-23066999,0,18
8,Jeremiah,24,1 - 4,24001001-24004999,0,19
8,Jeremiah,24,5 - 7,24005001-24007999,0,20
8,Jeremiah,24,8 - 10,24008001-24010999,0,21
8,Jeremiah,24,11 - 13,24011001-24013999,0,22
8,Jeremiah,24,14 - 16,24014001-24016999,0,23
8,Jeremiah,24,17 - 20,24017001-24020999,0,24
8,Jeremiah,24,21 - 23,24021001-24023999,0,25
8,Jeremiah,24,24 - 26,24024001-24026999,0,26
8,Jeremiah,24,27 - 29,24027001-24029999,0,27
8,Jeremiah,24,30 - 31,24030001-24031999,0,28
8,Jeremiah,24,32 - 33,24032001-24033999,0,29
8,Jeremiah,24,34 - 36,24034001-24036999,0,30
8,Jeremiah,24,37 - 39,24037001-24039999,0,31
8,Jeremiah,24,40 - 42,24040001-24042999,0,32
8,Jeremiah,24,43 - 44,24043001-24044999,0,33
8,Jeremiah,24,45 - 48,24045001-24048999,0,34
8,Jeremiah,24,49 - 50,24049001-24050999,0,35
8,Jeremiah,24,51 - 52,24051001-24052999,0,36
8,Lamentations,25,1 - 2,25001001-25002999,0,37
8,Lamentations,25,3 - 5,25003001-25005999,0,38
8,Ezekiel,26,1 - 3,26001001-26003999,0,39
8,Ezekiel,26,4 - 6,26004001-26006999,0,40
8,Ezekiel,26,7 - 9,26007001-26009999,0,41
8,Ezekiel,26,10 - 12,26010001-26012999,0,42
8,Ezekiel,26,13 - 15,26013001-26015999,0,43
8,Ezekiel,26,16,26016001-26016999,0,44
8,Ezekiel,26,17 - 18,26017001-26018999,0,45
8,Ezekiel,26,19 - 21,26019001-26021999,0,46
8,Ezekiel,26,22 - 23,26022001-26023999,0,47
8,Ezekiel,26,24 - 26,26024001-26026999,0,48
8,Ezekiel,26,27 - 28,26027001-26028999,0,49
8,Ezekiel,26,29 - 31,26029001-26031999,0,50
8,Ezekiel,26,32 - 33,26032001-26033999,0,51
8,Ezekiel,26,34 - 36,26034001-26036999,0,52
8,Ezekiel,26,37 - 38,26037001-26038999,0,53
8,Ezekiel,26,39 - 40,26039001-26040999,0,54
8,Ezekiel,26,41 - 43,26041001-26043999,0,55
8,Ezekiel,26,44 - 45,26044001-26045999,0,56
8,Ezekiel,26,46 - 48,26046001-26048999,0,57
8,Daniel,27,1 - 2,27001001-27002999,0,58
8,Daniel,27,3 - 4,27003001-27004999,0,59
8,Daniel,27,5 - 7,27005001-27007999,0,60
8,Daniel,27,8 - 10,27008001-27010999,0,61
8,Daniel,27,11 - 12,27011001-27012999,0,62
8,Hosea,28,1 - 7,28001001-28007999,0,63
8,Hosea,28,8 - 14,28008001-28014999,0,64
8,Joel,29,1 - 3,29001001-29003999,0,65
8,Amos,30,1 - 5,30001001-30005999,0,66
8,Amos,30,6 - 9,30006001-30009999,0,67
8,Obadiah,31,1,31001001-31001999,0,68
8,Jonah,32,1 - 4,32001001-32004999,0,69
8,Micah,33,1 - 7,33001001-33007999,0,70
8,Nahum,34,1 - 3,34001001-34003999,0,71
8,Habakkuk,35,1 - 3,35001001-35003999,0,72
8,Zephaniah,36,1 - 3,36001001-36003999,0,73
8,Haggai,37,1 - 2,37001001-37002999,0,74
8,Zechariah,38,1 - 7,38001001-38007999,0,75
8,Zechariah,38,8 - 11,38008001-38011999,0,76
8,Zechariah,38,12 - 14,38012001-38014999,0,77
8,Malachi,39,1 - 4,39001001-39004999,0,78
